1	!	350
4	$	343
5	%	14
6	&	212
7	'	1441
8	(	14677
9	)	14011
10	*	47
11	+	87
12	,	78753
13	-	1042
14	.	97535
15	/	283
16	:	2284
17	;	1694
18	<	11
20	>	11
21	?	295
28	€	12
32	~	27
33	`	18
35	§	1
39	«	7
43	°	40
44	±	7
45	»	7
47	×	8
48	÷	1
52	£	7
53	¥	15
57	“	785
58	”	242
59	„	2
61	‘	3
62	’	15
71	₩	1
79	₱	5
82	•	13
83	…	14
85	–	292
86	—	68
87	−	10
90	·	4
101	ng	134390
102	sa	119897
103	na	90160
104	ang	78498
105	mga	71625
106	ay	60901
107	at	47080
108	Ang	28478
109	isang	26475
110	ito	14761
111	noong	12440
112	ni	12011
113	si	10554
114	o	9940
115	bilang	9277
116	kanyang	9014
117	hindi	8712
118	may	8683
119	para	7813
120	siya	7446
121	Sa	7426
122	mula	6814
123	nito	5872
124	kung	5265
125	upang	5025
126	Noong	4218
127	niya	4190
128	kanilang	3984
129	rin	3901
130	Ito	3633
131	Si	3548
132	nang	3546
133	din	3523
134	unang	3301
135	dahil	3297
136	isa	3259
137	naging	3118
138	pa	3111
139	tao	2975
140	mas	2946
141	ibang	2941
142	hanggang	2897
143	lamang	2812
144	pang	2803
145	pamamagitan	2596
146	saan	2568
147	bahagi	2550
148	dalawang	2473
149	kay	2467
150	maaaring	2444
151	ilang	2428
152	ngunit	2404
153	taon	2394
154	iba	2274
155	nasa	2173
156	Pilipinas	2154
157	of	2145
158	lahat	2115
159	panahon	2103
160	Siya	2070
161	taong	2044
162	sila	1978
163	kasama	1954
164	lungsod	1936
165	maraming	1900
166	bansa	1878
167	walang	1862
168	itong	1851
169	loob	1811
170	naman	1800
171	buong	1735
172	pangunahin	1727
173	pangunahing	1724
174	siyang	1709
175	planetang	1677
176	kaniyang	1631
177	tulad	1546
178	araw	1533
179	dito	1516
180	lugar	1505
181	nila	1487
182	habang	1432
183	tinatawag	1421
184	pangalan	1411
185	bagong	1389
186	pagkatapos	1318
187	mundo	1316
188	ginagamit	1303
189	The	1299
190	maging	1294
191	bawat	1278
192	album	1273
193	anak	1253
194	pagitan	1242
195	uri	1205
196	buhay	1198
197	niyang	1189
198	tatlong	1176
199	kilala	1165
200	bago	1161
201	pelikula	1159
202	babae	1149
203	higit	1142
204	ilalim	1140
205	karaniwang	1134
206	Isang	1129
207	Dahil	1118
208	bayan	1102
209	parehong	1080
210	May	1056
211	iba't	1033
212	Ingles	1029
213	the	981
214	malaking	978
215	kabilang	961
216	Hindi	947
217	iyon	925
218	San	916
219	kanya	893
220	Ayon	892
221	dating	892
222	mayroong	889
223	tungkol	889
224	de	888
225	kapag	887
226	and	884
227	huling	875
228	karamihan	869
229	bagay	864
230	populasyon	848
231	siglo	842
232	muling	841
233	apat	838
234	pagiging	837
236	ngayon	819
237	ring	817
238	sina	815
239	laban	814
240	opisyal	813
241	laro	811
242	salitang	810
243	Estados	807
244	oras	803
245	paggamit	801
246	ayon	797
247	Unidos	796
248	mataas	795
249	Estados Unidos	793
250	katulad	784
251	pangkat	784
252	halos	777
253	wika	769
254	katawan	756
255	paraan	753
256	banda	751
257	wikang	750
258	kaya	747
259	matapos	744
260	ginawa	739
261	Isa	738
262	pamahalaan	738
263	binubuo	723
264	grupo	717
265	matatagpuan	716
266	kasalukuyang	713
267	2010	710
268	panahong	708
269	lalaki	703
270	Bilang	700
271	Pagkatapos	700
272	Mayo	686
273	kahit	685
274	kasaysayan	682
275	Marso	677
276	serye	677
277	Gayunpaman	676
278	estado	675
279	kapatid	674
280	tubig	674
281	dapat	672
282	sarili	671
283	ipinanganak	670
284	1	669
285	Enero	658
286	ding	652
287	batas	651
288	Setyembre	649
289	orihinal	647
290	maliit	645
291	malapit	644
292	bata	642
293	Disyembre	641
294	pamilya	641
295	gamit	639
296	pag-aaral	639
297	simbahan	639
298	ama	637
299	kanta	636
300	artista	633
301	nagkaroon	633
302	inilabas	632
303	Hapon	630
304	palabas	629
305	Oktubre	628
306	ginamit	628
307	2011	626
308	lalawigan	623
309	paaralan	623
310	Mga	615
311	unibersidad	615
312	Nang	614
313	buwan	606
314	New	603
315	nagsimula	602
316	Hunyo	600
317	madalas	600
318	2007	595
319	Nobyembre	589
320	namatay	586
321	nitong	584
322	Abril	582
323	sakit	581
324	pinakamalaking	576
325	2	575
326	Hulyo	574
327	pelikulang	574
328	Kung	572
329	miyembro	572
330	2006	569
331	Agosto	569
332	mayroon	561
333	anumang	554
334	milyong	554
335	bahay	553
336	itinatag	553
337	simula	548
338	Mula	546
339	nina	543
340	2009	542
341	Pilipino	540
342	Pebrero	537
343	ina	536
344	silang	536
345	2008	533
346	manlalaro	533
347	muli	531
348	gawa	530
349	antas	528
350	salita	528
351	kanila	527
352	kasapi	526
353	kaysa	526
354	anyo	524
355	pangalang	523
356	rehiyon	523
357	sistema	522
358	pinuno	520
359	Mayroon	519
360	itinuturing	519
361	gaya	517
362	ikalawang	514
363	wala	511
364	dekada	510
365	halimbawa	508
366	pagbabago	507
367	lupa	506
368	sariling	505
369	kulay	503
370	limang	499
371	3	495
372	lokal	490
373	gumawa	489
374	gusali	487
375	maaari	487
376	sanhi	485
377	gumagamit	484
378	paggawa	484
379	Ngunit	483
380	pagkain	483
381	Diyos	481
382	ilan	481
383	musika	481
384	Maynila	480
385	papel	479
386	aklat	477
387	pati	476
388	Naging	474
389	lang	471
390	edad	465
391	gawain	460
392	subalit	460
393	2005	454
394	lalo	454
395	noon	454
396	rito	454
397	asawa	453
398	pangalawang	453
399	sining	453
400	di	451
401	2012	450
402	kasalukuyan	449
403	katao	449
404	Matapos	448
405	10	447
406	tunay	447
407	kapangyarihan	446
408	University	445
409	nagbibigay	443
410	nilang	443
411	mag-aaral	442
412	tinawag	442
413	hayop	441
414	kaso	441
415	katangian	441
416	telebisyon	440
417	pook	439
418	dalawa	438
419	sumunod	437
420	2013	434
421	labas	432
422	linya	431
423	gulang	428
424	huli	428
425	kamatayan	428
426	programa	428
427	batay	426
428	2014	425
429	nagmula	425
430	Kapag	424
431	marami	424
432	batang	419
433	kahulugan	418
434	anim	417
435	una	417
436	dahilan	414
437	partikular	414
438	halip	413
439	malawak	412
440	2015	410
441	Maraming	408
442	kabuuang	406
443	Maria	405
444	York	405
445	pagkakaroon	404
446	Habang	402
447	halaga	402
448	pambansang	402
449	sistemang	401
450	gamitin	399
451	Europa	398
452	man	398
453	trabaho	393
454	babaeng	392
455	kadalasang	390
456	larangan	387
457	pagkakataon	386
458	Kabilang	385
459	5	382
460	Tsina	382
461	bansang	382
462	kilalang	382
463	2004	380
464	kuwento	380
465	ganitong	375
466	15	374
467	2016	374
468	sinaunang	373
469	alam	372
470	naglalaman	372
471	sinabi	372
472	Para	369
473	Bagaman	368
474	tumutukoy	367
475	digmaan	364
476	Hesus	363
477	bersyon	363
478	tanging	363
479	video	362
480	Lungsod	361
481	beses	361
482	mahalagang	361
483	20	359
484	itinayo	359
485	Korea	358
486	4	357
487	sentro	356
488	Kastila	355
489	bagaman	355
490	30	354
491	Amerika	353
492	manunulat	352
493	nanalo	352
494	2017	351
495	2018	351
496	Subalit	350
497	militar	350
498	patuloy	350
499	sukat	350
500	in	349
